school_name,postal_code,mainlevel_code,latitude,longitude
CHRIST CHURCH SECONDARY SCHOOL,737924,SECONDARY (S1-S5),1.426567809014548,103.7934511052413
CHUA CHU KANG PRIMARY SCHOOL,689905,PRIMARY,1.377758900933685,103.7418329174204
CHUA CHU KANG SECONDARY SCHOOL,688848,SECONDARY (S1-S5),1.383334226370742,103.7551032758298
CHUNG CHENG HIGH SCHOOL (MAIN),439012,SECONDARY (S1-S4),1.305091547530479,103.8916532293727
CHUNG CHENG HIGH SCHOOL (YISHUN),768547,SECONDARY (S1-S5),1.419226035861755,103.8373907828488
CLEMENTI PRIMARY SCHOOL,129903,PRIMARY,1.315063218278743,103.7631444936865
CLEMENTI TOWN SECONDARY SCHOOL,129904,SECONDARY (S1-S5),1.315539129450737,103.7620205985233
COMMONWEALTH SECONDARY SCHOOL,608784,SECONDARY (S1-S5),1.319203959348025,103.745637393049
COMPASSVALE PRIMARY SCHOOL,545091,PRIMARY,1.394445296365664,103.8978122299046
COMPASSVALE SECONDARY SCHOOL,545083,SECONDARY (S1-S5),1.396140839520089,103.899847164494
CONCORD PRIMARY SCHOOL,689814,PRIMARY,1.380265161114646,103.7365542956354
CORPORATION PRIMARY SCHOOL,648347,PRIMARY,1.351485487726621,103.7075784049433
CRESCENT GIRLS' SCHOOL,247961,SECONDARY (S1-S4),1.293319470771038,103.8175444617547
CREST SECONDARY SCHOOL,609561,SECONDARY (S1-S4),1.343119804507612,103.742628105304
DAMAI PRIMARY SCHOOL,479226,PRIMARY,1.335246028297487,103.9212864353203
DAMAI SECONDARY SCHOOL,479229,SECONDARY (S1-S5),1.33692798510394,103.9270916534379
DAZHONG PRIMARY SCHOOL,659441,PRIMARY,1.359179744727699,103.7484721078394
DE LA SALLE SCHOOL,689285,PRIMARY,1.394707829639912,103.7432018128304
DEYI SECONDARY SCHOOL,569277,SECONDARY (S1-S5),1.365997025677177,103.8525457724221
DUNEARN SECONDARY SCHOOL,659204,SECONDARY (S1-S5),1.363579007928712,103.7447210910693
DUNMAN HIGH SCHOOL,436895,MIXED LEVEL (S1-JC2),1.299962160149622,103.8829415598902
DUNMAN SECONDARY SCHOOL,529093,SECONDARY (S1-S5),1.360652583370217,103.9562139069653
EAST SPRING PRIMARY SCHOOL,529258,PRIMARY,1.352684007463578,103.9616768491644
EAST SPRING SECONDARY SCHOOL,529231,SECONDARY (S1-S5),1.356225089925808,103.9606407002974
EDGEFIELD PRIMARY SCHOOL,828869,PRIMARY,1.400091395109958,103.907847599114
EDGEFIELD SECONDARY SCHOOL,828814,SECONDARY (S1-S5),1.400593099818258,103.9026873854646
ELIAS PARK PRIMARY SCHOOL,518866,PRIMARY,1.375056963158182,103.9452894168725
ENDEAVOUR PRIMARY SCHOOL,757521,PRIMARY,1.453881704172645,103.8171747016388
EUNOIA JUNIOR COLLEGE,573838,JUNIOR COLLEGE,1.362137571835474,103.8412861691214
EVERGREEN PRIMARY SCHOOL,738908,PRIMARY,1.444148354515854,103.7945452959214
EVERGREEN SECONDARY SCHOOL,738489,SECONDARY (S1-S5),1.441491312737382,103.794137756171
FAIRFIELD METHODIST SCHOOL (PRIMARY),139648,PRIMARY,1.301004419167346,103.785455606827
FAIRFIELD METHODIST SCHOOL (SECONDARY),139649,SECONDARY (S1-S5),1.301633743958234,103.7840996471483
FARRER PARK PRIMARY SCHOOL,217567,PRIMARY,1.312368676813718,103.8507664029651
FENGSHAN PRIMARY SCHOOL,469680,PRIMARY,1.32980598760785,103.9317102930578
FERN GREEN PRIMARY SCHOOL,797538,PRIMARY,1.397269660504794,103.8803303056833
FERNVALE PRIMARY SCHOOL,797701,PRIMARY,1.390302279637964,103.874445458032
FIRST TOA PAYOH PRIMARY SCHOOL,319252,PRIMARY,1.34032299499939,103.8555299061816
FRONTIER PRIMARY SCHOOL,648200,PRIMARY,1.336412987432344,103.6997017393095
FUCHUN PRIMARY SCHOOL,739063,PRIMARY,1.430479908101254,103.7781929442981
FUHUA PRIMARY SCHOOL,609647,PRIMARY,1.336597264658171,103.7360894818831
FUHUA SECONDARY SCHOOL,649410,SECONDARY (S1-S5),1.347014089137569,103.7265208983193
GAN ENG SENG PRIMARY SCHOOL,158901,PRIMARY,1.285595164949621,103.8155474100632
GAN ENG SENG SCHOOL,159561,SECONDARY (S1-S5),1.289071144857723,103.8237336730892
GEYLANG METHODIST SCHOOL (PRIMARY),389706,PRIMARY,1.318144168273754,103.8836285016008
GEYLANG METHODIST SCHOOL (SECONDARY),389705,SECONDARY (S1-S5),1.31764900474602,103.8826611293028
GONGSHANG PRIMARY SCHOOL,529176,PRIMARY,1.357116067902936,103.9491447972771
GREENDALE PRIMARY SCHOOL,828848,PRIMARY,1.39648195114255,103.9123346207095
GREENDALE SECONDARY SCHOOL,828866,SECONDARY (S1-S5),1.396960199368946,103.9117001408394
GREENRIDGE PRIMARY SCHOOL,677744,PRIMARY,1.385889219369218,103.7677944692579
GREENRIDGE SECONDARY SCHOOL,678972,SECONDARY (S1-S5),1.375600053443009,103.7639989140813
GREENWOOD PRIMARY SCHOOL,737942,PRIMARY,1.439899583317834,103.8047255873839
GUANGYANG SECONDARY SCHOOL,579807,SECONDARY (S1-S5),1.344409435256954,103.8502121630782
HAI SING CATHOLIC SCHOOL,519421,SECONDARY (S1-S5),1.374337170747808,103.9545445489052
HAIG GIRLS' SCHOOL,427072,PRIMARY,1.311943442713839,103.9029025571947
HENRY PARK PRIMARY SCHOOL,278790,PRIMARY,1.316676461783479,103.7842962277468
HILLGROVE SECONDARY SCHOOL,659250,SECONDARY (S1-S5),1.352735766159136,103.7529864883989
HOLY INNOCENTS' HIGH SCHOOL,534786,SECONDARY (S1-S5),1.371545088222631,103.8963988142639
HOLY INNOCENTS' PRIMARY SCHOOL,536451,PRIMARY,1.366938308773486,103.8941148997942
HONG WEN SCHOOL,327829,PRIMARY,1.321759999645534,103.8576284688807
HORIZON PRIMARY SCHOOL,828819,PRIMARY,1.399550034492005,103.9134048556651
HOUGANG PRIMARY SCHOOL,534238,PRIMARY,1.377382452314626,103.8808052745566
HOUGANG SECONDARY SCHOOL,534256,SECONDARY (S1-S5),1.377628795531905,103.8825391089642
HUA YI SECONDARY SCHOOL,649371,SECONDARY (S1-S5),1.352343654883408,103.7218323201689
HUAMIN PRIMARY SCHOOL,768857,PRIMARY,1.426972845129362,103.8442402265639
HWA CHONG INSTITUTION,269734,MIXED LEVEL (S1-JC2),1.326358062214406,103.8032903650219
INNOVA PRIMARY SCHOOL,737888,PRIMARY,1.42896700684852,103.7906075391852
JIEMIN PRIMARY SCHOOL,768515,PRIMARY,1.427688476652264,103.8304254900925
JING SHAN PRIMARY SCHOOL,569228,PRIMARY,1.371964457201105,103.8517635316804
JUNYUAN PRIMARY SCHOOL,528906,PRIMARY,1.347870747667462,103.9392217090732
JUNYUAN SECONDARY SCHOOL,528933,SECONDARY (S1-S5),1.353613152635378,103.9338861658239
JURONG PIONEER JUNIOR COLLEGE,688258,JUNIOR COLLEGE,1.384374064107325,103.7543746151894
JURONG PRIMARY SCHOOL,609476,PRIMARY,1.348438596989479,103.7331565668572
JURONG SECONDARY SCHOOL,618652,SECONDARY (S1-S5),1.33002032220943,103.7239529616472
JURONG WEST PRIMARY SCHOOL,648368,PRIMARY,1.33917519796104,103.6988037322437
JURONG WEST SECONDARY SCHOOL,648348,SECONDARY (S1-S5),1.335256346883231,103.7020989044422
JURONGVILLE SECONDARY SCHOOL,609790,SECONDARY (S1-S5),1.351288627702855,103.7289077100888
JUYING SECONDARY SCHOOL,649038,SECONDARY (S1-S5),1.338722773413297,103.6873102645743
KEMING PRIMARY SCHOOL,659762,PRIMARY,1.345528499608757,103.7564493993506
KENT RIDGE SECONDARY SCHOOL,127368,SECONDARY (S1-S5),1.301227734260989,103.7648896175657
KHENG CHENG SCHOOL,319580,PRIMARY,1.337338193563907,103.8471485018234
KONG HWA SCHOOL,399772,PRIMARY,1.310996740091935,103.8883520290672
KRANJI PRIMARY SCHOOL,689189,PRIMARY,1.393560504971042,103.7473627209389
KRANJI SECONDARY SCHOOL,689333,SECONDARY (S1-S5),1.390051098713108,103.7411906648444
